Timestamp,Which part of Math is terrifying for you? ,Do you feel that unavailability of good Math teacher is a reason behind your fear of math?  ,Do you get frustrated or frightened when you fail to solve problems repeatedly?,Do you feel rote learning of mathematics increase Math phobia?,Do you have Dyscalculia?,Do you think psychological disorder is one of the reasons behind Math phobia?,Do you think lack of concentration is one of the reasons behind your fear of math?,Do you think unclear concepts of the topics are the reasons behind Math phobia?,Do you think Yoga can solve the Math phobia? ,Do you think Math phobia is caused due to the pressure of performing well?,Do you feel Mathematics phobia arises because you are not able to connect Mathematics with the real world?,Do you agree that regular practice of Mathematics can solve the problems related to Math phobia?,Does breaking up a complicated problem into smaller part help in betterment?,Does studying in peer groups and seeking help from teacher help to eradicate Math phobia?,Does frequent mock tests help to release the pressure?,Positive
5/14/2023 14:16:02,All of the above,Strongly Agree,Strongly Agree,Strongly Agree,"No, I didn't",Strongly Disagree,Moderately Agree,Strongly Agree,Not yet decided,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Sometimes,Stongly Agree,1
5/14/2023 14:17:15,Trigonometry,Moderately Disagree,Moderately Agree,Moderately Agree,Not at all,Moderately Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Agree,Sometimes,Moderately Agree,0
5/14/2023 14:19:14,Geometry,Strongly disagree,Strongly Agree,Not yet decided,"No, I didn't",Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Not yet decided,Yes,Stongly Agree,1
5/14/2023 14:55:06,Geometry,Strongly disagree,Moderately Disagree,Moderately Disagree,Not at all,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Disagree,Not yet decided,Moderately Agree,Strongly Disagree,Moderately Disagree,Yes,Moderately Agree,0
5/14/2023 14:22:42,Algebra,Strongly Agree,Strongly Agree,Moderately Agree,"Yes, I suffered",Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Moderately Agree,0
5/14/2023 14:23:13,All of the above,Moderately Agree,Strongly Agree,Strongly Agree,"Yes, I suffered",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Sometimes,Moderately Agree,0
5/14/2023 14:33:57,Algebra,Moderately Agree,Strongly Agree,Strongly Agree,"No, I didn't",Moderately Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Moderately Agree,0
5/14/2023 14:38:05,Algebra,Strongly disagree,Strongly Agree,Strongly Agree,Some times,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Not yet decided,Sometimes,Strongly Disagree,0
5/14/2023 14:41:48,Algebra,Strongly Agree,Strongly Agree,Strongly Disagree,None of the above,Moderately Disagree,Strongly Disagree,Not yet decided,Strongly Disagree,Not yet decided,Moderately Disagree,Not yet decided,Moderately Disagree,Yes,Strongly Disagree,0
5/14/2023 14:43:10,All of the above,Moderately Disagree,Strongly Agree,Not yet decided,Not at all,Not yet decided,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Sometimes,Moderately Disagree,0
5/14/2023 14:43:27,All of the above,Not yet decided,Not yet decided,Strongly Agree,"No, I didn't",Not yet decided,Strongly Agree,Not yet decided,Strongly Agree,Moderately Agree,Not yet decided,Strongly Agree,Strongly Agree,Sometimes,Not yet decided,0
5/14/2023 14:44:38,Algebra,Strongly disagree,Strongly Agree,Not yet decided,Not at all,Strongly Agree,Not yet decided,Strongly Agree,Not yet decided,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Sometimes,Strongly Disagree,0
5/14/2023 14:46:08,Arithmetic,Strongly Agree,Strongly Agree,Strongly Agree,Not at all,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 14:46:39,Algebra,Strongly disagree,Strongly Agree,Moderately Agree,"No, I didn't",Strongly Disagree,Strongly Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,Moderately Disagree,0
5/14/2023 14:46:53,Trigonometry,Strongly Agree,Strongly Agree,Moderately Disagree,Not at all,Moderately Disagree,Strongly Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 14:48:16,Geometry,Strongly Agree,Moderately Agree,Moderately Agree,"Yes, I suffered",Moderately Agree,Moderately Agree,Strongly Agree,Not yet decided,Moderately Disagree,Moderately Agree,Not yet decided,Moderately Agree,never,Moderately Agree,0
5/14/2023 14:48:45,Algebra,Moderately Agree,Strongly Agree,Moderately Agree,"Yes, I suffered",Not yet decided,Strongly Disagree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Yes,Strongly Disagree,0
5/14/2023 14:54:49,Geometry,Strongly Agree,Strongly Agree,Strongly Disagree,"No, I didn't",Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 14:55:23,All of the above,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I suffered",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Yes,Moderately Disagree,0
5/14/2023 15:04:05,Algebra,Strongly Agree,Strongly Agree,Strongly Agree,Some times,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 15:00:55,All of the above,Not yet decided,Not yet decided,Not yet decided,None of the above,Not yet decided,Not yet decided,Not yet decided,Not yet decided,Not yet decided,Not yet decided,Not yet decided,Not yet decided,never,Not yet decided,0
5/14/2023 15:06:06,Trigonometry,Not yet decided,Moderately Agree,Not yet decided,None of the above,Moderately Agree,Strongly Agree,Strongly Agree,Not yet decided,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 15:07:02,All of the above,Strongly Agree,Strongly Agree,Moderately Agree,"No, I didn't",Not yet decided,Strongly Disagree,Strongly Agree,Not yet decided,Moderately Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Yes,Stongly Agree,1
5/14/2023 15:20:58,All of the above,Moderately Disagree,Strongly Agree,Moderately Disagree,"No, I didn't",Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Disagree,never,Strongly Disagree,0
5/14/2023 15:31:25,Algebra,Strongly disagree,Moderately Disagree,Strongly Agree,"No, I didn't",Strongly Agree,Strongly Disagree,Not yet decided,Moderately Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Not yet decided,Yes,Moderately Disagree,0
5/14/2023 15:34:51,Trigonometry,Moderately Agree,Moderately Agree,Strongly Agree,"No, I didn't",Strongly Disagree,Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Not yet decided,Yes,Moderately Disagree,0
5/14/2023 15:36:11,Arithmetic,Strongly Agree,Moderately Disagree,Moderately Agree,Not at all,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Moderately Agree,0
5/14/2023 15:40:42,All of the above,Strongly disagree,Not yet decided,Strongly Agree,Not at all,Strongly Disagree,Not yet decided,Moderately Agree,Strongly Disagree,Not yet decided,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Strongly Disagree,0
5/14/2023 15:57:45,All of the above,Strongly disagree,Moderately Agree,Strongly Disagree,None of the above,Not yet decided,Not yet decided,Not yet decided,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 16:01:16,Algebra,Strongly Agree,Strongly Disagee,Moderately Agree,Some times,Not yet decided,Moderately Agree,Strongly Disagree,Moderately Disagree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Moderately Disagree,0
5/14/2023 16:19:23,Arithmetic,Strongly Agree,Strongly Disagee,Strongly Agree,Not at all,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 16:21:27,All of the above,Strongly Agree,Strongly Agree,Moderately Disagree,None of the above,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 16:26:23,All of the above,Strongly Agree,Strongly Agree,Strongly Disagree,Not at all,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 17:00:47,Geometry,Not yet decided,Moderately Disagree,Moderately Agree,"No, I didn't",Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Not yet decided,Strongly Agree,Strongly Agree,Sometimes,Stongly Agree,1
5/14/2023 17:33:16,Arithmetic,Strongly disagree,Strongly Disagee,Moderately Agree,Not at all,Not yet decided,Moderately Disagree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Yes,Moderately Agree,0
5/14/2023 18:37:21,All of the above,Strongly Agree,Moderately Agree,Strongly Disagree,"Yes, I suffered",Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Moderately Agree,0
5/14/2023 18:38:50,Geometry,Strongly disagree,Strongly Agree,Moderately Agree,Not at all,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Strongly Agree,Not yet decided,Strongly Agree,Moderately Disagree,Yes,Stongly Agree,1
5/14/2023 20:21:26,All of the above,Strongly Agree,Not yet decided,Not yet decided,"No, I didn't",Not yet decided,Strongly Agree,Not yet decided,Strongly Disagree,Not yet decided,Strongly Disagree,Strongly Agree,Not yet decided,Yes,Not yet decided,0
5/14/2023 20:54:23,Arithmetic,Strongly Agree,Moderately Agree,Strongly Agree,Not at all,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 21:11:49,Arithmetic,Strongly Agree,Strongly Agree,Strongly Agree,"No, I didn't",Not yet decided,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Not yet decided,Moderately Agree,Strongly Agree,Sometimes,Moderately Agree,0
5/14/2023 21:22:27,Arithmetic,Moderately Disagree,Strongly Agree,Moderately Agree,Not at all,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Not yet decided,Moderately Agree,Sometimes,Moderately Agree,0
5/14/2023 21:24:44,Trigonometry,Moderately Disagree,Strongly Agree,Moderately Disagree,"No, I didn't",Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Yes,Stongly Agree,1
5/14/2023 21:32:29,Trigonometry,Strongly Agree,Moderately Agree,Not yet decided,Not at all,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/14/2023 22:58:39,Algebra,Strongly Agree,Strongly Agree,Strongly Agree,Not at all,Moderately Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Not yet decided,Moderately Agree,Strongly Agree,Sometimes,Stongly Agree,1
5/14/2023 23:38:00,Algebra,Strongly disagree,Strongly Disagee,Strongly Disagree,"No, I didn't",Not yet decided,Strongly Disagree,Strongly Disagree,Strongly Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Sometimes,Stongly Agree,1
5/14/2023 23:48:14,Algebra,Strongly disagree,Strongly Agree,Strongly Disagree,Not at all,Moderately Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Sometimes,Moderately Agree,0
5/14/2023 23:57:24,Algebra,Moderately Disagree,Strongly Agree,Moderately Agree,Some times,Not yet decided,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/15/2023 7:17:37,Trigonometry,Moderately Disagree,Moderately Agree,Moderately Agree,Not at all,Strongly Disagree,Strongly Agree,Not yet decided,Strongly Disagree,Moderately Agree,Not yet decided,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/15/2023 7:41:25,Algebra,Moderately Agree,Strongly Agree,Strongly Agree,Some times,Strongly Agree,Strongly Agree,Strongly Agree,Not yet decided,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Moderately Agree,0
5/15/2023 9:42:18,Trigonometry,Strongly Agree,Strongly Disagee,Strongly Agree,Not at all,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Yes,Moderately Agree,0
5/15/2023 9:52:06,Trigonometry,Moderately Agree,Strongly Agree,Moderately Agree,"No, I didn't",Not yet decided,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Sometimes,Moderately Agree,0
5/15/2023 15:11:59,Geometry,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I suffered",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/15/2023 18:59:13,All of the above,Strongly disagree,Strongly Agree,Strongly Disagree,None of the above,Moderately Agree,Strongly Agree,Strongly Disagree,Moderately Agree,Not yet decided,Moderately Agree,Strongly Agree,Moderately Agree,Yes,Stongly Agree,1
5/15/2023 19:05:08,Algebra,Moderately Disagree,Moderately Agree,Strongly Disagree,Some times,Moderately Agree,Moderately Agree,Strongly Disagree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Disagree,Sometimes,Moderately Agree,0
5/15/2023 19:27:47,Geometry,Strongly Agree,Strongly Agree,Strongly Agree,"Yes, I suffered",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/15/2023 23:47:31,Trigonometry,Strongly Agree,Moderately Agree,Strongly Agree,Some times,Moderately Disagree,Strongly Agree,Strongly Agree,Not yet decided,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Stongly Agree,1
5/16/2023 11:38:43,Arithmetic,Strongly Agree,Strongly Disagee,Moderately Agree,"No, I didn't",Strongly Agree,Strongly Agree,Strongly Disagree,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Disagree,Moderately Disagree,Yes,Strongly Disagree,0
5/16/2023 13:13:05,Arithmetic,Strongly Agree,Moderately Agree,Strongly Agree,"No, I didn't",Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/16/2023 19:12:54,Geometry,Moderately Agree,Moderately Agree,Strongly Agree,Not at all,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/17/2023 7:08:49,All of the above,Strongly disagree,Strongly Agree,Not yet decided,"No, I didn't",Strongly Disagree,Strongly Agree,Moderately Disagree,Strongly Agree,Moderately Disagree,Not yet decided,Moderately Disagree,Strongly Disagree,never,Stongly Agree,1
5/17/2023 7:10:05,Geometry,Moderately Agree,Strongly Agree,Strongly Agree,Not at all,Moderately Agree,Moderately Agree,Moderately Agree,Not yet decided,Not yet decided,Moderately Agree,Moderately Agree,Moderately Agree,Sometimes,Stongly Agree,1
5/17/2023 7:18:53,Trigonometry,Moderately Agree,Strongly Agree,Strongly Agree,Some times,Not yet decided,Moderately Agree,Strongly Agree,Not yet decided,Strongly Disagree,Not yet decided,Strongly Agree,Strongly Agree,Yes,Moderately Agree,0
5/17/2023 7:21:36,Trigonometry,Strongly Agree,Strongly Agree,Strongly Agree,"No, I didn't",Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/17/2023 7:31:45,Geometry,Strongly Agree,Strongly Agree,Strongly Agree,Some times,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Agree,Sometimes,Stongly Agree,1
5/17/2023 7:41:06,Arithmetic,Strongly Agree,Strongly Disagee,Strongly Disagree,Not at all,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/17/2023 7:57:43,All of the above,Strongly Agree,Moderately Agree,Moderately Disagree,"Yes, I suffered",Strongly Disagree,Moderately Disagree,Moderately Agree,Moderately Disagree,Moderately Disagree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Not yet decided,0
5/17/2023 7:59:02,Trigonometry,Moderately Agree,Strongly Agree,Strongly Agree,"No, I didn't",Strongly Disagree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Yes,Moderately Disagree,0
5/17/2023 8:02:44,Geometry,Moderately Agree,Moderately Agree,Strongly Agree,"No, I didn't",Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Agree,Yes,Stongly Agree,1
5/17/2023 8:22:51,Geometry,Strongly Agree,Strongly Agree,Strongly Agree,Some times,Moderately Disagree,Strongly Disagree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Sometimes,Strongly Disagree,0
5/17/2023 8:26:46,Geometry,Strongly Agree,Moderately Disagree,Moderately Agree,Not at all,Strongly Agree,Moderately Agree,Moderately Agree,Not yet decided,Moderately Agree,Strongly Agree,Moderately Agree,Strongly Agree,Sometimes,Stongly Agree,1
5/17/2023 8:59:17,Geometry,Strongly Agree,Moderately Agree,Strongly Disagree,"No, I didn't",Moderately Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Moderately Agree,0
5/17/2023 9:12:44,Trigonometry,Moderately Agree,Strongly Disagee,Not yet decided,"No, I didn't",Not yet decided,Moderately Disagree,Moderately Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Moderately Agree,Yes,Moderately Agree,0
5/17/2023 9:29:57,Geometry,Strongly disagree,Moderately Agree,Strongly Agree,"No, I didn't",Not yet decided,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/17/2023 9:41:27,Geometry,Strongly Agree,Moderately Agree,Strongly Agree,Not at all,Not yet decided,Moderately Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/17/2023 9:50:45,Algebra,Strongly Agree,Strongly Agree,Strongly Disagree,Some times,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Yes,Strongly Disagree,0
5/17/2023 10:22:00,Geometry,Moderately Agree,Strongly Agree,Not yet decided,"No, I didn't",Strongly Disagree,Moderately Agree,Strongly Agree,Not yet decided,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Sometimes,Stongly Agree,1
5/17/2023 10:22:51,Algebra,Strongly Agree,Strongly Agree,Strongly Agree,Not at all,Strongly Agree,Strongly Agree,Strongly Agree,Moderately Agree,Moderately Disagree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Stongly Agree,1
5/17/2023 10:26:52,Trigonometry,Strongly Agree,Moderately Agree,Not yet decided,Some times,Moderately Agree,Moderately Agree,Strongly Agree,Moderately Disagree,Moderately Agree,Strongly Disagree,Strongly Agree,Moderately Agree,Sometimes,Moderately Agree,0
5/17/2023 10:52:55,Trigonometry,Moderately Agree,Moderately Agree,Moderately Agree,Not at all,Moderately Disagree,Moderately Agree,Strongly Agree,Moderately Agree,Moderately Agree,Moderately Agree,Strongly Agree,Strongly Agree,Yes,Moderately Disagree,0
5/17/2023 12:23:06,Algebra,Moderately Agree,Strongly Agree,Not yet decided,Not at all,Not yet decided,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Moderately Agree,Sometimes,Stongly Agree,1
5/17/2023 12:59:47,Trigonometry,Moderately Agree,Strongly Disagee,Not yet decided,Some times,Strongly Agree,Moderately Agree,Strongly Agree,Not yet decided,Moderately Agree,Strongly Agree,Strongly Agree,Moderately Agree,Sometimes,Stongly Agree,1
